lr-AdamW,step,train_loss_ft0,train_loss_ft1,train_loss_ft2,train_loss_ft3,train_loss_ft4,train_loss_ft5,train_loss_ft6,train_loss_ft7,train_loss_ft8,train_loss_ft9,train_loss_ft10,train_loss_ft11,train_loss,epoch,val_loss_ft0,val_loss_ft1,val_loss_ft2,val_loss_ft3,val_loss_ft4,val_loss_ft5,val_loss_ft6,val_loss_ft7,val_loss_ft8,val_loss_ft9,val_loss_ft10,val_loss_ft11,val_loss
0.0005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.006967612076550722,0.07311045378446579,0.004507851786911488,0.004030750133097172,0.0046432712115347385,0.003738753730431199,0.003559715813025832,0.027624458074569702,0.05177605524659157,0.03989940136671066,0.009474179707467556,0.00497068464756012,0.01952526532113552,0,,,,,,,,,,,,,
,99,0.00661923922598362,0.07093740254640579,0.0043287742882966995,0.003880372503772378,0.004407498519867659,0.003547023283317685,0.003284839680418372,0.027023160830140114,0.050683923065662384,0.03959651663899422,0.009277896024286747,0.004927169997245073,0.019042817875742912,0,,,,,,,,,,,,,
,115,,,,,,,,,,,,,,0,0.00461322907358408,0.06987912952899933,0.002831759164109826,0.0038076075725257397,0.0019169070292264223,0.0026529147289693356,0.0028781837318092585,0.02168094925582409,0.0531705766916275,0.04125535860657692,0.010043210349977016,0.003698471002280712,0.018202360719442368
0.0004995,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.006744136568158865,0.07286670058965683,0.00414137402549386,0.003788701957091689,0.004336765967309475,0.003454849123954773,0.003190303221344948,0.026706382632255554,0.05091200768947601,0.03877156227827072,0.009394882246851921,0.00485916156321764,0.019097235053777695,1,,,,,,,,,,,,,
,199,0.006607024930417538,0.07296422868967056,0.004216175526380539,0.003743942826986313,0.004334895871579647,0.0034617476630955935,0.0032218298874795437,0.026685941964387894,0.05197732150554657,0.039608415216207504,0.009721873328089714,0.004559026565402746,0.019258534535765648,1,,,,,,,,,,,,,
,231,,,,,,,,,,,,,,1,0.0036984265316277742,0.07005617022514343,0.0019722881261259317,0.002206830307841301,0.0015652038855478168,0.0015092737739905715,0.0016044052317738533,0.02119106985628605,0.053892165422439575,0.03890378773212433,0.008216273970901966,0.0027467915788292885,0.017296891659498215
0.000499,232,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.006578874308615923,0.07168428599834442,0.004085104446858168,0.0038695393595844507,0.004289605654776096,0.003441095585003495,0.0034892642870545387,0.0268930122256279,0.05206962302327156,0.040331460535526276,0.009297673590481281,0.004771660082042217,0.01923343352973461,2,,,,,,,,,,,,,
,299,0.006617847830057144,0.07283423840999603,0.00402638828381896,0.0037052968982607126,0.00430796155706048,0.0033275557216256857,0.003216802841052413,0.027146702632308006,0.05057336762547493,0.040200475603342056,0.009489035233855247,0.004690348170697689,0.019178001210093498,2,,,,,,,,,,,,,
,347,,,,,,,,,,,,,,2,0.004619776736944914,0.07289483398199081,0.0026640286669135094,0.0032499220687896013,0.0018881909782066941,0.002560667460784316,0.002475439105182886,0.0215621255338192,0.055335719138383865,0.03871970623731613,0.008830217644572258,0.003599239746108651,0.018199987709522247
0.0004985,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.006602630950510502,0.07124078273773193,0.003974627237766981,0.0036013151984661818,0.004158251453191042,0.0037237266078591347,0.0031202600803226233,0.026458673179149628,0.050891514867544174,0.03841015696525574,0.008772029541432858,0.004722469486296177,0.018806369975209236,3,,,,,,,,,,,,,
,399,0.006238909438252449,0.07087679207324982,0.0038634873926639557,0.0035784845240414143,0.0040286509320139885,0.0031803103629499674,0.0030093600507825613,0.02671894058585167,0.05156959220767021,0.0388495959341526,0.009266527369618416,0.004448946099728346,0.018802465870976448,3,,,,,,,,,,,,,
,449,0.006681537721306086,0.06884462386369705,0.004081720020622015,0.003664962714537978,0.004452597349882126,0.003424626775085926,0.0030709835700690746,0.025280827656388283,0.05081641301512718,0.039108581840991974,0.009582662023603916,0.004836645908653736,0.01865384913980961,3,,,,,,,,,,,,,
,463,,,,,,,,,,,,,,3,0.004962904844433069,0.0797697976231575,0.0032050497829914093,0.0036010637413710356,0.0020863586105406284,0.002805970376357436,0.0031780984718352556,0.023660855367779732,0.05834781751036644,0.042479220777750015,0.009310075081884861,0.003730442840605974,0.019761471077799797
0.000498,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
